siteid,code,status,name,site_type
1NEFA83YT4VPA,,INACTIVE,St Leonard,TO BE UPDATED
IVKVVSCXII5YX,AUSYDCH,ACTIVE,ANL Container Hire & Sales,DEPOT
3O30TQOF2YVU7,BEANTHAN,INACTIVE,Handico Depot,DEPOT
230HUKKLBGXVI,CAMONAP,INACTIVE,Montreal Airport,TO BE UPDATED
2T0PQKSGXCKOC,USFIN01,INACTIVE,Findlay Whirlpool Distb'n Center,DEPOT
4682062726785,VNSGN30P,INACTIVE,NEW UNIVERSAL CO. LTD,DEPOT
1BX4O0NC42VBN,BRADA01,INACTIVE,"Curitiba, Adamy Cargolift",TO BE UPDATED
0FC3UQKSE5VUM,,INACTIVE,Neu-Ulm,TO BE UPDATED
0BN02ADS2CZ01,TNBIZ01,ACTIVE,Bizerte,DEPOT
2QESFDIFFWPBX,USDENSI,INACTIVE,TMSI Transportation,DEPOT
3V20VN0WY5PFI,HROMITM,ACTIVE,Omisajl Terminal,TERMINAL
OJVZUARCKFXLU,NZLCHCT,ACTIVE,LPC Midland Port,DEPOT
8455716724720,INJHT33P,ACTIVE,CENTRAL WAREHOUSING CORPORATION,DEPOT
1DTKSKC9WV0GH,RUKURRR,INACTIVE,Kursk Rail Terminal,RAIL TERMINAL
0900194533588,ITLGH33P,INACTIVE,Cti Livorno,DEPOT
OC0B7IB9IVGWQ,ZAPLZGI,ACTIVE,GRINDROD INTERMODAL COEGA,DEPOT
1D58DBO87WAM4,ZARCBTM,ACTIVE,Richards Bay Terminal,TERMINAL
Y8XUZ9NE8NIW4,SNSLSDJ,ACTIVE,Djoudj,DEPOT
T1PBDJEID84VM,ITLGHLO,ACTIVE,LEGHORN Terminal Lorenzini,TERMINAL
AXHDHRRQJU81U,MXVZRDI,ACTIVE,Container Port Digiport SA de CV,DEPOT
1SQVL5BGJONUP,COSMPTM,ACTIVE,Santa Marta Terminal,TERMINAL
34AWT6VBX6AH9,ZACPTCG,INACTIVE,Container Gateway to Africa Pty Ltd,DEPOT
3TYUAA7Y2KNWW,NZAKLRR,ACTIVE,Metroport Auckland,RAIL TERMINAL
29ULBZWHEH9UO,PLMAWRT,INACTIVE,Mlawa Terminal,RAIL TERMINAL
0LMTE2O33XM9Z,USLSA42P,INACTIVE,Golden State Logistics,DEPOT
135S2IZ1U93ZY,,INACTIVE,New Hamburg On,TO BE UPDATED
29ZU86A8U6K1F,IN5L6IL,ACTIVE,INDEV LOGISTICS PVT. LTD.,CONTAINER FREIGHT STATION
1QAA75TNTEZK1,NLROT22,ACTIVE,Delta Container Terminal,TERMINAL
1HXZD5U2VQDMN,USFPRCC,INACTIVE,"Chicago,Central & Pacific Railroad",RAIL TERMINAL
2SEM3LOEN97RP,RUPLPTM,ACTIVE,St Petersburg Petrolesport,TERMINAL
W3XZRQZJUREXC,ITTROFP,ACTIVE,FIAT POWERTRAIN TECHNOLOGIES SPA,DEPOT
2BIAGGBLC70JI,,INACTIVE,Langweid (A.Lech),TO BE UPDATED
2SY238LREFVK8,UZSE6RR,INACTIVE,Shurtan Rail Station,RAIL TERMINAL
0Q07PUGAKTSTF,USLOURT,INACTIVE,Louisville Rail Terminal,RAIL TERMINAL
2Q0CSHYUD2OOV,,INACTIVE,St Helena,TO BE UPDATED
3BMU5TP6DF8N2,,INACTIVE,Sulz (Am Neckar),TO BE UPDATED
0615TP0ISIO3J,,INACTIVE,Marshville  Nc,TO BE UPDATED
1HXSHGABFYJTV,DEARBMD,INACTIVE,ARNSBERG MILITARY DEPOT,DEPOT
0CVH12MGB7X4V,USEAUCW,INACTIVE,Closed/Chicago Northwestern Railroa,RAIL TERMINAL
1058743303203,PHBCD30P,INACTIVE,LORENZO BACOLOD,DEPOT
0923348116187,ESVLC35P,INACTIVE,Spanish Depot Service,DEPOT
ADW0S2CGY9JPG,MZBEWCM,ACTIVE,Cornelder de Mocambique,DEPOT
